"FullName","Name","Size","Itemtype","Datemodified","Datecreated","Dateaccessed","Perceivedtype","Kind","Contributingartists","Album","Year","Genre","Conductors","Tags","Rating","Artist","Title","Track","Time","Bitrate","Ccaddresses","From"
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-01-Shadows.mp3","12 Stones-Potter's Field-01-Shadows.mp3","3.43 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Shadows","1","00:03:45","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-02-The Last Song.mp3","12 Stones-Potter's Field-02-The Last Song.mp3","3.13 MB","MP3 Format Sound","11/22/2013 3:29 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","The Last Song","2","00:03:25","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-03-Far Away.mp3","12 Stones-Potter's Field-03-Far Away.mp3","3.08 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Far Away","3","00:03:21","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-04-Speak Your Mind.mp3","12 Stones-Potter's Field-04-Speak Your Mind.mp3","3.70 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Speak Your Mind","4","00:04:02","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-05-Lifeless.mp3","12 Stones-Potter's Field-05-Lifeless.mp3","3.40 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Lifeless","5","00:03:42","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-06-Bitter.mp3","12 Stones-Potter's Field-06-Bitter.mp3","3.27 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Bitter","6","00:03:34","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-07-Photograph.mp3","12 Stones-Potter's Field-07-Photograph.mp3","3.63 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Photograph","7","00:03:58","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-08-Leaf Loser.mp3","12 Stones-Potter's Field-08-Leaf Loser.mp3","4.23 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Leaf Loser","8","00:04:37","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-09-Stay.mp3","12 Stones-Potter's Field-09-Stay.mp3","4.13 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Stay","9","00:04:30","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-10-Waiting for Yesterday.mp3","12 Stones-Potter's Field-10-Waiting for Yesterday.mp3","3.54 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","Waiting For Yesterday","10","00:03:51","?128kbps","",""
"\\home.local\allfiles\media\music\cds\12 Stones\Potter's Field\12 Stones-Potter's Field-11-In Closing.mp3","12 Stones-Potter's Field-11-In Closing.mp3","3.65 MB","MP3 Format Sound","12/13/2012 5:23 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","12 Stones","Potter's Field","2004","Pop","","","Unrated","12 Stones","In Closing","11","00:03:59","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-01-Train.mp3","3 Doors Down-3 Doors Down-01-Train.mp3","2.90 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Train","1","00:03:10","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-02-Citizen-Soldier.mp3","3 Doors Down-3 Doors Down-02-Citizen-Soldier.mp3","3.55 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Citizen/Soldier","2","00:03:52","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-03-It's Not My Time.mp3","3 Doors Down-3 Doors Down-03-It's Not My Time.mp3","3.69 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","It's Not My Time","3","00:04:01","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-04-Let Me Be Myself.mp3","3 Doors Down-3 Doors Down-04-Let Me Be Myself.mp3","3.48 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Let Me Be Myself","4","00:03:48","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-05-Pages.mp3","3 Doors Down-3 Doors Down-05-Pages.mp3","3.47 MB","MP3 Format Sound","1/16/2014 7:23 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Pages","5","00:03:47","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-06-It's the Only One You've Got.mp3","3 Doors Down-3 Doors Down-06-It's the Only One You've Got.mp3","4.02 MB","MP3 Format Sound","1/16/2014 7:24 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","It's the Only One You've Got","6","00:04:23","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-07-Give It to Me.mp3","3 Doors Down-3 Doors Down-07-Give It to Me.mp3","3.08 MB","MP3 Format Sound","11/22/2013 3:27 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Give It to Me","7","00:03:21","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-08-These Days.mp3","3 Doors Down-3 Doors Down-08-These Days.mp3","3.35 MB","MP3 Format Sound","11/22/2013 3:27 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","These Days","8","00:03:39","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-09-Your Arms Feel Like Home.mp3","3 Doors Down-3 Doors Down-09-Your Arms Feel Like Home.mp3","3.42 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Your Arms Feel Like Home","9","00:03:43","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-10-Runaway.mp3","3 Doors Down-3 Doors Down-10-Runaway.mp3","3.11 MB","MP3 Format Sound","11/22/2013 3:29 PM","11/25/2014 9:43 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","Runaway","10","00:03:24","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-11-When It's Over.mp3","3 Doors Down-3 Doors Down-11-When It's Over.mp3","3.94 MB","MP3 Format Sound","3/31/2013 10:38 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","When It's Over","11","00:04:18","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\3 Doors Down\3 Doors Down-3 Doors Down-12-She Don't Want the World.mp3","3 Doors Down-3 Doors Down-12-She Don't Want the World.mp3","3.72 MB","MP3 Format Sound","11/22/2013 3:31 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","3 Doors Down","2008","Alternative","","","Unrated","3 Doors Down","She Don't Want the World","12","00:04:03","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-01-When I'm Gone.mp3","3 Doors Down-Away from the Sun-01-When I'm Gone.mp3","4.00 MB","MP3 Format Sound","11/22/2013 3:39 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","When I'm Gone","1","00:04:21","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-02-Away from the Sun.mp3","3 Doors Down-Away from the Sun-02-Away from the Sun.mp3","3.56 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Away From The Sun","2","00:03:53","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-03-The Road I'm On.mp3","3 Doors Down-Away from the Sun-03-The Road I'm On.mp3","3.66 MB","MP3 Format Sound","11/22/2013 3:39 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","The Road I'm On","3","00:03:59","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-04-Ticket to Heaven.mp3","3 Doors Down-Away from the Sun-04-Ticket to Heaven.mp3","3.17 MB","MP3 Format Sound","11/22/2013 3:39 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Ticket To Heaven","4","00:03:27","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-05-Running Out of Days.mp3","3 Doors Down-Away from the Sun-05-Running Out of Days.mp3","3.22 MB","MP3 Format Sound","10/26/2014 2:52 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Running Out Of Days","5","00:03:31","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-06-Here Without You.mp3","3 Doors Down-Away from the Sun-06-Here Without You.mp3","3.64 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Here Without You","6","00:03:58","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-07-I Feel You.mp3","3 Doors Down-Away from the Sun-07-I Feel You.mp3","3.77 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","I Feel You","7","00:04:07","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-08-Dangerous Game.mp3","3 Doors Down-Away from the Sun-08-Dangerous Game.mp3","3.30 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Dangerous Game","8","00:03:36","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-09-Changes.mp3","3 Doors Down-Away from the Sun-09-Changes.mp3","3.61 MB","MP3 Format Sound","11/22/2013 3:39 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Changes","9","00:03:56","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-10-Going Down in Flames.mp3","3 Doors Down-Away from the Sun-10-Going Down in Flames.mp3","3.18 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Going Down in Flames","10","00:03:28","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-11-Sarah Yellin'.mp3","3 Doors Down-Away from the Sun-11-Sarah Yellin'.mp3","3.02 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","Sarah Yellin'","11","00:03:17","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Away From The Sun\3 Doors Down-Away from the Sun-12-[Untitled Hidden Track].mp3","3 Doors Down-Away from the Sun-12-[Untitled Hidden Track].mp3","4.86 MB","MP3 Format Sound","3/31/2013 10:41 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Away From The Sun","2002","Alternative","","","Unrated","3 Doors Down","[Untitled Hidden Track]","12","00:05:18","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-01-Right Where I Belong.mp3","3 Doors Down-Seventeen Days-01-Right Where I Belong.mp3","2.32 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Right Where I Belong","1","00:02:32","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-02-It's Not Me.mp3","3 Doors Down-Seventeen Days-02-It's Not Me.mp3","2.96 MB","MP3 Format Sound","11/22/2013 3:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","It's Not Me","2","00:03:14","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-03-Let Me Go.mp3","3 Doors Down-Seventeen Days-03-Let Me Go.mp3","3.54 MB","MP3 Format Sound","11/22/2013 3:29 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Let Me Go","3","00:03:52","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-04-Be Somebody.mp3","3 Doors Down-Seventeen Days-04-Be Somebody.mp3","2.98 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Be Somebody","4","00:03:15","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-05-Landing in London.mp3","3 Doors Down-Seventeen Days-05-Landing in London.mp3","4.14 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down; Bob Seger","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down; Bob Seger","Landing in London","5","00:04:31","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-06-The Real Life.mp3","3 Doors Down-Seventeen Days-06-The Real Life.mp3","3.55 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","The Real Life","6","00:03:52","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-07-Behind Those Eyes.mp3","3 Doors Down-Seventeen Days-07-Behind Those Eyes.mp3","3.95 MB","MP3 Format Sound","11/22/2013 3:30 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Behind Those Eyes","7","00:04:18","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-08-Never Will I Break.mp3","3 Doors Down-Seventeen Days-08-Never Will I Break.mp3","3.51 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Never Will I Break","8","00:03:50","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-09-Father's Son.mp3","3 Doors Down-Seventeen Days-09-Father's Son.mp3","3.84 MB","MP3 Format Sound","11/22/2013 3:31 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Father's Son","9","00:04:11","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-10-Live for Today.mp3","3 Doors Down-Seventeen Days-10-Live for Today.mp3","3.47 MB","MP3 Format Sound","12/13/2012 5:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Live for Today","10","00:03:47","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-11-My World.mp3","3 Doors Down-Seventeen Days-11-My World.mp3","2.75 MB","MP3 Format Sound","11/22/2013 3:32 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","My World","11","00:03:00","?128kbps","",""
"\\home.local\allfiles\media\music\cds\3 Doors Down\Seventeen Days\3 Doors Down-Seventeen Days-12-Here by Me.mp3","3 Doors Down-Seventeen Days-12-Here by Me.mp3","3.47 MB","MP3 Format Sound","11/22/2013 3:27 PM","11/25/2014 9:44 PM","7/10/2018 8:20 AM","Audio","Music","3 Doors Down","Seventeen Days","2005","Pop","","","Unrated","3 Doors Down","Here by Me","12","00:03:47","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-01-Rockin' into the Night.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-01-Rockin' into the Night.mp3","3.69 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Rockin' into the Night","1","00:04:01","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-02-Hold on Loosely.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-02-Hold on Loosely.mp3","4.30 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Hold on Loosely","2","00:04:41","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-03-Wild-Eyed Southern Boys.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-03-Wild-Eyed Southern Boys.mp3","3.96 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Wild-Eyed Southern Boys","3","00:04:19","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-04-Fantasy Girl.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-04-Fantasy Girl.mp3","3.76 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Fantasy Girl","4","00:04:06","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-05-Caught Up in You.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-05-Caught Up in You.mp3","4.27 MB","MP3 Format Sound","1/16/2014 7:24 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Caught Up in You","5","00:04:40","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-06-Chain Lightnin'.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-06-Chain Lightnin'.mp3","4.66 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:00 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Chain Lightnin'","6","00:05:05","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-07-You Keep Runnin' Away.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-07-You Keep Runnin' Away.mp3","3.64 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","You Keep Runnin' Away","7","00:03:58","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-08-Rough-Housin'.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-08-Rough-Housin'.mp3","3.81 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Rough-Housin'","8","00:04:09","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-09-Stone Cold Believer.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-09-Stone Cold Believer.mp3","3.88 MB","MP3 Format Sound","11/22/2013 3:29 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Stone Cold Believer","9","00:04:14","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-10-Twentieth Century Fox.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-10-Twentieth Century Fox.mp3","3.45 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Twentieth Century Fox","10","00:03:46","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-11-If I'd Been the One.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-11-If I'd Been the One.mp3","3.59 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","If I'd Been the One","11","00:03:55","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-12-Back Where You Belong.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-12-Back Where You Belong.mp3","3.72 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Back Where You Belong","12","00:04:03","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-13-Teacher, Teacher.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-13-Teacher, Teacher.mp3","2.97 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Teacher, Teacher","13","00:03:14","?128kbps","",""
"\\home.local\allfiles\media\music\cds\38 Special\The Very Best of\.38 Special-The Very Best of the A&M Years (1977-1988)-14-Somebody Like You.mp3",".38 Special-The Very Best of the A&M Years (1977-1988)-14-Somebody Like You.mp3","3.82 MB","MP3 Format Sound","12/13/2012 5:28 PM","11/25/2014 9:01 PM","7/10/2018 8:04 AM","Audio","Music",".38 Special","The Very Best of the A&M Years (1977-1988)","2003","Rock","","","Unrated",".38 Special","Somebody Like You","14","00:04:10","?128kbps","",""
